path,live_title,new_title,title_match,live_description,new_description,description_source,live_canonical,new_canonical,canonical_match,live_h1,new_h1,h1_change
/about-us/,About Us - The Burger Sleeves,About Us - The Burger Sleeves,exact,,"Learn how The Burger Sleeves turns custom printed burger sleeves into marketing for restaurants, food trucks and cafes.",authored fallback (live had none),https://theburgersleeves.com/about-us/,https://theburgersleeves.com/about-us/,exact,(none on live),About Us,added (live page had no H1)
/brand/the-burger-sleeves/,The Burger Sleeves Archives - The Burger Sleeves,The Burger Sleeves Archives - The Burger Sleeves,exact,,"Every burger sleeve made by The Burger Sleeves: custom printed, kraft, black, white and die-cut packaging for food service.",authored fallback (live had none),https://theburgersleeves.com/brand/the-burger-sleeves/,https://theburgersleeves.com/brand/the-burger-sleeves/,exact,The Burger Sleeves,The Burger Sleeves,unchanged
/contact-us/,Contact Us - The Burger Sleeves,Contact Us - The Burger Sleeves,exact,,"Call (503) 358-0443, email us or send a message about custom burger sleeve packaging. We reply to every enquiry.",authored fallback (live had none),https://theburgersleeves.com/contact-us/,https://theburgersleeves.com/contact-us/,exact,(none on live),Contact Us,added (live page had no H1)
/get-free-quote/,Get Free Quote - The Burger Sleeves,Get Free Quote - The Burger Sleeves,exact,,"Request a free quote for custom burger sleeves. Share your size, colours, quantity and artwork and we will price it.",authored fallback (live had none),https://theburgersleeves.com/get-free-quote/,https://theburgersleeves.com/get-free-quote/,exact,(none on live),Get Free Quote,added (live page had no H1)
/,Custom Burger Sleeves | Printed & Kraft Food Packaging,Custom Burger Sleeves | Printed & Kraft Food Packaging,exact,"Order custom burger sleeves with logo printing, grease-resistant kraft material, and bulk wholesale options for restaurants, food trucks etc","Order custom burger sleeves with logo printing, grease-resistant kraft material, and bulk wholesale options for restaurants, food trucks etc",preserved from live,https://theburgersleeves.com/,https://theburgersleeves.com/,exact,Custom Burger Sleeves,Custom Burger Sleeves,unchanged
/privacy-policy/,Privacy Policy - The Burger Sleeves,Privacy Policy - The Burger Sleeves,exact,,"How The Burger Sleeves collects, uses and protects the personal information you share through our website and enquiries.",authored fallback (live had none),https://theburgersleeves.com/privacy-policy/,https://theburgersleeves.com/privacy-policy/,exact,Privacy Policy,Privacy Policy,unchanged
/product-category/burger-sleeves-combo/,Custom Burger Sleeves | Printed Packaging | The Burger Sleeves,Custom Burger Sleeves | Printed Packaging | The Burger Sleeves,exact,"Custom printed burger sleeves and kraft food packaging. Get high-quality, branded burger wraps for your restaurant. Request a free quote today!","Custom printed burger sleeves and kraft food packaging. Get high-quality, branded burger wraps for your restaurant. Request a free quote today!",preserved from live,https://theburgersleeves.com/product-category/burger-sleeves-combo/,https://theburgersleeves.com/product-category/burger-sleeves-combo/,exact,Burger Sleeves Combo,Burger Sleeves Combo,unchanged
/product-category/burger-sleeves-materials/,Burger Sleeve Materials | Custom Food Packaging | TBS,Burger Sleeve Materials | Custom Food Packaging | TBS,exact,"Explore premium burger sleeve materials: eco-friendly kraft paper, greaseproof, and custom printed options. Durable packaging for your restaurant!","Explore premium burger sleeve materials: eco-friendly kraft paper, greaseproof, and custom printed options. Durable packaging for your restaurant!",preserved from live,https://theburgersleeves.com/product-category/burger-sleeves-materials/,https://theburgersleeves.com/product-category/burger-sleeves-materials/,exact,Burger Sleeves Materials,Burger Sleeves Materials,unchanged
/product-category/burger-sleeves-sizes/,Burger Sleeve Sizes | Custom Packaging | Free Quote | TBS,Burger Sleeve Sizes | Custom Packaging | Free Quote | TBS,exact,"Find the perfect burger sleeve size for your menu. Standard, large, and custom sizes available. Fits sliders to gourmet burgers. Order yours today!","Find the perfect burger sleeve size for your menu. Standard, large, and custom sizes available. Fits sliders to gourmet burgers. Order yours today!",preserved from live,https://theburgersleeves.com/product-category/burger-sleeves-sizes/,https://theburgersleeves.com/product-category/burger-sleeves-sizes/,exact,Burger Sleeves Sizes,Burger Sleeves Sizes,unchanged
/product-category/burger-sleeves-styles/,Burger Sleeve Styles | Custom Printed | The Burger Sleeves,Burger Sleeve Styles | Custom Printed | The Burger Sleeves,exact,"Explore burger sleeve styles: custom printed designs, natural kraft, windowed, and foil-lined options. Create unique packaging for your brand today!","Explore burger sleeve styles: custom printed designs, natural kraft, windowed, and foil-lined options. Create unique packaging for your brand today!",preserved from live,https://theburgersleeves.com/product-category/burger-sleeves-styles/,https://theburgersleeves.com/product-category/burger-sleeves-styles/,exact,Burger Sleeves Styles,Burger Sleeves Styles,unchanged
