product_name,sku,url,category,primary_keyword,search_intent,content_angle,short_desc_words,long_desc_words,status_vs_target,h2_count,h3_count,tables,lists,contextual_links,link_destinations,faq_count,duplicate_faqs,related_products,images
Burger and Fries Sleeves,TBS-041,https://theburgersleeves.com/product/burger-and-fries-sleeves/,Burger Sleeves Combo,burger and fries sleeves,commercial — combo-meal operator,"Two food types, one carrier: separating hot fries from a burger, steam interaction, combo assembly order",131,0,MISSING,0,0,0,0,0,,15,0,Burger Sandwich Sleeves | Burger Wrapping Sleeves | Fast Food Sleeves Packaging,4
Burger Wrapping Sleeves,TBS-042,https://theburgersleeves.com/product/burger-wrapping-sleeves/,Burger Sleeves Combo,burger wrapping sleeves,commercial — operator combining a wrap with a sleeve,"Sleeve over wrap: how the two layers interact, seam placement, when a sleeve replaces a wrap and when it should not",122,0,MISSING,0,0,0,0,0,,15,0,Burger and Fries Sleeves | Burger Sandwich Sleeves | Fast Food Sleeves Packaging,1
Burger Sandwich Sleeves,TBS-043,https://theburgersleeves.com/product/burger-sandwich-sleeves/,Burger Sleeves Combo,burger sandwich sleeves,commercial — operator packing stacked sandwiches too,"Non-round builds: ciabatta, sub-style and stacked sandwiches in a sleeve designed around a bun",122,0,MISSING,0,0,0,0,0,,15,0,Burger and Fries Sleeves | Burger Wrapping Sleeves | Fast Food Sleeves Packaging,5
Fast Food Sleeves Packaging,TBS-044,https://theburgersleeves.com/product/fast-food-sleeves-packaging/,Burger Sleeves Combo,fast food sleeves packaging,commercial hub — operator specifying a whole packaging set,"Sleeves as one line in a packaging programme: matching across items, ordering cadence, storage footprint, artwork reuse across formats",88,0,MISSING,0,0,0,0,0,,15,0,Burger and Fries Sleeves | Burger Sandwich Sleeves | Burger Wrapping Sleeves,5
Kraft Burger Sleeves,TBS-001,https://theburgersleeves.com/product/kraft-burger-sleeves/,Burger Sleeves Materials,kraft burger sleeves,commercial — kraft board material buyer,Kraft fibre and board behaviour,123,1516,OK,8,0,1,2,4,/product-category/burger-sleeves-materials/ | /product/kraft-brown-burger-sleeves/ | /product/food-truck-burger-sleeves/ | /product/black-printed-burger-sleeves/,12,0,Cardboard Burger Sleeves | Corrugated Burger Sleeves | Eco Friendly Burger Sleeves | Paper Burger Sleeves,1
Cardboard Burger Sleeves,TBS-002,https://theburgersleeves.com/product/cardboard-burger-sleeves/,Burger Sleeves Materials,cardboard burger sleeves,commercial — buyer comparing board weights,Paperboard calipers and rigidity,126,1397,OK,8,0,1,2,4,/product/paper-burger-sleeves/ | /product/large-burger-sleeves/ | /product/double-patty-burger-sleeves/ | /product/die-cut-burger-sleeves/,12,0,Corrugated Burger Sleeves | Eco Friendly Burger Sleeves | Kraft Burger Sleeves | Paper Burger Sleeves,0
Paper Burger Sleeves,TBS-003,https://theburgersleeves.com/product/paper-burger-sleeves/,Burger Sleeves Materials,paper burger sleeves,commercial — lightweight paper buyer,Light flexible paper stock,127,1409,OK,8,0,1,2,3,/product/street-food-burger-sleeves/ | /product/medium-burger-sleeves/ | /product/grease-resistant-burger-sleeves/,12,0,Cardboard Burger Sleeves | Corrugated Burger Sleeves | Eco Friendly Burger Sleeves | Kraft Burger Sleeves,3
Corrugated Burger Sleeves,TBS-004,https://theburgersleeves.com/product/corrugated-burger-sleeves/,Burger Sleeves Materials,corrugated burger sleeves,commercial — buyer needing fluted rigidity,Flute structure and insulation,125,1395,OK,8,0,1,2,3,/product/event-burger-sleeves/ | /product/jumbo-burger-sleeves/ | /product/cardboard-burger-sleeves/,12,0,Cardboard Burger Sleeves | Eco Friendly Burger Sleeves | Kraft Burger Sleeves | Paper Burger Sleeves,5
Recycled Burger Sleeves,TBS-005,https://theburgersleeves.com/product/recycled-burger-sleeves/,Burger Sleeves Materials,recycled burger sleeves,commercial — recycled-content buyer,Recycled fibre and its print/strength trade-offs,114,1353,OK,8,0,1,2,4,/product/minimal-design-burger-sleeves/ | /product/food-grade-burger-sleeves/ | /product/restaurant-burger-sleeves/ | /product/eco-friendly-burger-sleeves/,12,0,Cardboard Burger Sleeves | Corrugated Burger Sleeves | Eco Friendly Burger Sleeves | Kraft Burger Sleeves,3
Eco Friendly Burger Sleeves,TBS-006,https://theburgersleeves.com/product/eco-friendly-burger-sleeves/,Burger Sleeves Materials,eco friendly burger sleeves,commercial — buyer with environmental criteria,Honest limits of coated paperboard disposal,114,1348,OK,8,0,1,2,3,/product/slider-burger-sleeves/ | /product-category/special-sleeves-uses/ | /product/recycled-burger-sleeves/,12,0,Cardboard Burger Sleeves | Corrugated Burger Sleeves | Kraft Burger Sleeves | Paper Burger Sleeves,4
